"num_seq_geo","pt_lamp","qtde_lamp","luminaria","latitude","longitude","OBJECTID"
"946907993","47","1","MATERIAL NÃO IDENTIFICADO","-25.447316","-49.257356","220097461"
"583834915","40","1","LUMINARIA TIPO LM-1","-25.448249","-49.2561","220097723"
"583834917","47","1","LUMINARIA TIPO LM-1","-25.448318","-49.255791","220097724"
"1824728","47","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448207","-49.256369","220097741"
"946900550","47","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.44815","-49.256907","220097742"
"946900547","33","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448366","-49.256824","220097743"
"946900544","47","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448582","-49.256741","220097744"
"949272841","47","1","MATERIAL NÃO IDENTIFICADO","-25.447551","-49.249","220098221"
"949272471","61","1","MATERIAL NÃO IDENTIFICADO","-25.448364","-49.249048","220098518"
"949272674","61","1","MATERIAL NÃO IDENTIFICADO","-25.448087","-49.249281","220098519"
"948561578","61","1","MATERIAL NÃO IDENTIFICADO","-25.447321","-49.252444","220099470"
"948561575","61","1","MATERIAL NÃO IDENTIFICADO","-25.447617","-49.252311","220099471"
"946900495","60","1","LUMINARIA TIPO LM-1","-25.448924","-49.256697","220100193"
"1824664","60","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448106","-49.256977","220100194"
"1828484","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448737","-49.257684","220100198"
"946907987","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447521","-49.25785","220100199"
"946907990","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447409","-49.257593","220100200"
"1828478","110","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448288","-49.257819","220100202"
"1828481","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448503","-49.257747","220100203"
"1817371","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448047","-49.257326","220100204"
"1817366","75","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447927","-49.257854","220100205"
"1829936","130","1","MATERIAL NÃO IDENTIFICADO","-25.448394","-49.255412","220106609"
"2535088","130","1","MATERIAL NÃO IDENTIFICADO","-25.447916","-49.253102","220107077"
"2535239","130","1","MATERIAL NÃO IDENTIFICADO","-25.44777","-49.252288","220107078"
"1829901","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447123","-49.256285","220113477"
"1829905","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447365","-49.256162","220113478"
"1829914","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447643","-49.256029","220113479"
"2471124","130","1","LUMINARIA TIPO LM-3","-25.450003","-49.257815","220119809"
"2471105","110","1","LUMINARIA TIPO LM-3","-25.449742","-49.257898","220153750"
"2348539","90","1","LUMINARIA TIPO LM-3","-25.450493","-49.257261","220161880"
"2544841","110","1","LUMINARIA TIPO LM-3","-25.450495","-49.257479","220161881"
"2544995","75","1","LUMINARIA TIPO LM-3","-25.450588","-49.257647","220161882"
"2544990","130","1","LUMINARIA TIPO LM-3","-25.450318","-49.257721","220161922"
"2509746","90","1","LUMINARIA TIPO LM-3","-25.450146","-49.255456","220163635"
"2509587","110","1","LUMINARIA TIPO LM-3","-25.449533","-49.255524","220163637"
"2493524","110","1","LUMINARIA TIPO LM-3","-25.450453","-49.255432","220164343"
"946902552","60","1","MATERIAL NÃO IDENTIFICADO","-25.450075","-49.254025","220165576"
"2556719","90","1","MATERIAL NÃO IDENTIFICADO","-25.450319","-49.254797","220165783"
"946902641","75","1","MATERIAL NÃO IDENTIFICADO","-25.44811","-49.254272","220165784"
"2372369","90","1","MATERIAL NÃO IDENTIFICADO","-25.450276","-49.254221","220165785"
"573299228","60","10","MATERIAL NÃO IDENTIFICADO","-25.447186","-49.258601","220166797"
"572471960","90","1","MATERIAL NÃO IDENTIFICADO","-25.449025","-49.253046","220253046"
"2509085","130","1","MATERIAL NÃO IDENTIFICADO","-25.449228","-49.258701","220253047"
"2509132","130","1","MATERIAL NÃO IDENTIFICADO","-25.449014","-49.258157","220253048"
"1824639","130","1","MATERIAL NÃO IDENTIFICADO","-25.448778","-49.257295","220267712"
"2535039","130","1","MATERIAL NÃO IDENTIFICADO","-25.44803","-49.253627","220282024"
"1828916","130","1","MATERIAL NÃO IDENTIFICADO","-25.4485","-49.255917","220282025"
"2535220","130","1","MATERIAL NÃO IDENTIFICADO","-25.447867","-49.252814","220282026"
"2535466","130","1","MATERIAL NÃO IDENTIFICADO","-25.447819","-49.252556","220283264"
"2534975","130","1","MATERIAL NÃO IDENTIFICADO","-25.448078","-49.253895","220283265"
"1824697","60","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448157","-49.256668","220293402"
"1829922","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448128","-49.255783","220298373"
"1828472","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.44773","-49.257967","220298374"
"1829918","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447868","-49.255926","220298375"
"1817377","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447987","-49.257565","220298564"
"1828475","130","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448018","-49.257903","220298574"
"1828465","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447145","-49.258124","220298575"
"2471090","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.4485","-49.258234","220313168"
"1829927","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448379","-49.25566","220348552"
"572472735","110","1","MATERIAL NÃO IDENTIFICADO","-25.449891","-49.252954","220355383"
"1104095549","33","1","LUMINARIA TIPO LM-1","-25.447312","-49.251669","220360738"
"949272677","61","1","MATERIAL NÃO IDENTIFICADO","-25.447836","-49.249483","220368750"
"946899461","60","1","LUMINARIA LM150 INTEGRADA P/ LAMPADA VSO-150  NTC811332","-25.448933","-49.258934","220376513"
"946899684","60","1","MATERIAL NÃO IDENTIFICADO","-25.448618","-49.259077","220376514"
"946899458","47","1","LUMINARIA LM150 INTEGRADA P/ LAMPADA VSO-150  NTC811332","-25.44922","-49.25879","220376516"
"2535069","110","1","MATERIAL NÃO IDENTIFICADO","-25.448466","-49.253104","220378830"
"1824684","130","1","MATERIAL NÃO IDENTIFICADO","-25.448673","-49.25679","220385819"
"2531219","130","1","MATERIAL NÃO IDENTIFICADO","-25.448145","-49.254162","220385820"
"2530995","130","1","MATERIAL NÃO IDENTIFICADO","-25.448202","-49.25445","220385821"
"3299338","130","1","MATERIAL NÃO IDENTIFICADO","-25.44933","-49.258978","220386001"
"1818437","150","1","MATERIAL NÃO IDENTIFICADO","-25.447333","-49.253468","220394001"
"2535258","90","1","MATERIAL NÃO IDENTIFICADO","-25.44789","-49.253202","220394002"
