generation,qubit_mutated,energy,status,time_elapsed_sec
0,N/A,-0.4048,START,0.0
1,6,-0.4346,ACCEPTED,0.1993
2,2,-0.4629,ACCEPTED,0.2914
3,1,-0.4629,REJECTED,0.3792
4,4,-0.4629,REJECTED,0.4629
5,6,-0.4629,REJECTED,0.5479
6,5,-0.4629,REJECTED,0.6259
7,4,-0.4697,ACCEPTED,0.7008
8,1,-0.4697,REJECTED,0.7738
9,7,-0.4697,REJECTED,0.8457
10,7,-0.4858,ACCEPTED,0.9201
11,4,-0.4858,REJECTED,0.9936
12,2,-0.5967,ACCEPTED,1.0687
13,0,-0.7119,ACCEPTED,1.1427
14,7,-0.7119,REJECTED,1.2161
15,2,-0.7744,ACCEPTED,1.288
16,3,-0.7744,REJECTED,1.359
17,4,-0.7744,REJECTED,1.4317
18,8,-0.7744,REJECTED,1.5039
19,3,-0.7744,REJECTED,1.5779
20,1,-0.7744,REJECTED,1.6524
21,4,-0.7744,REJECTED,1.7258
22,5,-0.7744,REJECTED,1.8015
23,1,-0.7744,REJECTED,1.8752
24,4,-0.7744,REJECTED,1.9512
25,0,-0.7744,REJECTED,2.0235
26,3,-0.7773,ACCEPTED,2.0976
27,3,-0.7773,REJECTED,2.1703
28,6,-0.7773,REJECTED,2.2465
29,4,-0.7773,REJECTED,2.3175
30,0,-0.7773,REJECTED,2.3904
31,5,-0.7773,REJECTED,2.4653
32,2,-0.7773,REJECTED,2.5419
33,8,-0.8057,ACCEPTED,2.6213
34,8,-0.8057,REJECTED,2.7025
35,2,-0.8057,REJECTED,2.781
36,4,-0.8057,REJECTED,2.8569
37,5,-0.8057,REJECTED,2.9364
38,1,-0.8057,REJECTED,3.0233
39,1,-1.4009,ACCEPTED,3.1048
40,4,-1.4062,ACCEPTED,3.1859
41,7,-1.4443,ACCEPTED,3.2584
42,3,-1.4443,REJECTED,3.3307
43,1,-2.293,ACCEPTED,3.4026
44,1,-2.293,REJECTED,3.4748
45,1,-2.6411,ACCEPTED,3.5473
46,4,-2.6484,ACCEPTED,3.6218
47,2,-2.8042,ACCEPTED,3.6928
48,8,-2.8198,ACCEPTED,3.7634
49,6,-2.8213,ACCEPTED,3.8445
50,0,-2.8213,REJECTED,3.9161
51,6,-2.8213,REJECTED,3.9876
52,2,-2.8213,REJECTED,4.0589
53,6,-2.8213,REJECTED,4.1293
54,3,-2.8213,REJECTED,4.1994
55,0,-2.8213,REJECTED,4.2702
56,8,-2.8213,REJECTED,4.341
57,8,-2.8213,REJECTED,4.4136
58,6,-2.8213,REJECTED,4.4842
59,6,-2.8213,REJECTED,4.5553
60,1,-2.8213,REJECTED,4.6272
61,8,-2.8213,REJECTED,4.6973
62,8,-2.8213,REJECTED,4.7696
63,6,-2.8213,REJECTED,4.8398
64,0,-2.8213,REJECTED,4.9106
65,2,-2.8213,REJECTED,4.981
66,2,-2.8213,REJECTED,5.052
67,7,-2.8213,REJECTED,5.1226
68,6,-2.8213,REJECTED,5.1918
69,5,-2.8213,REJECTED,5.2637
70,3,-2.8213,REJECTED,5.3345
71,2,-2.9248,ACCEPTED,5.4061
72,5,-2.9248,REJECTED,5.4788
73,0,-2.936,ACCEPTED,5.5494
74,2,-2.936,REJECTED,5.6215
75,4,-2.9375,ACCEPTED,5.6908
76,1,-2.9785,ACCEPTED,5.761
77,8,-2.9834,ACCEPTED,5.8311
78,6,-2.9834,REJECTED,5.9011
79,3,-2.9834,REJECTED,5.971
80,4,-2.9834,REJECTED,6.0418
81,7,-2.9834,REJECTED,6.1116
82,5,-2.9834,REJECTED,6.1835
83,6,-2.9834,REJECTED,6.2533
84,2,-2.9932,ACCEPTED,6.3229
85,6,-2.9932,REJECTED,6.3931
86,6,-2.9937,ACCEPTED,6.4656
87,5,-2.9961,ACCEPTED,6.542
88,8,-2.9961,REJECTED,6.6161
89,1,-2.9961,REJECTED,6.6937
90,4,-2.9961,REJECTED,6.7639
91,1,-2.9961,REJECTED,6.8372
92,8,-2.9961,REJECTED,6.9083
93,3,-2.9961,REJECTED,6.9844
94,6,-2.9961,REJECTED,7.0682
95,4,-2.9961,REJECTED,7.1435
96,1,-2.9961,REJECTED,7.2136
97,6,-2.9961,REJECTED,7.2839
98,4,-2.9961,REJECTED,7.3537
99,3,-2.9961,REJECTED,7.424
100,1,-2.9961,REJECTED,7.4938
101,1,-2.9961,REJECTED,7.5634
102,8,-2.9961,REJECTED,7.6317
103,6,-2.9961,REJECTED,7.7007
104,1,-2.9961,REJECTED,7.7715
105,4,-2.9966,ACCEPTED,7.8406
106,6,-2.9966,REJECTED,7.9119
107,6,-2.9966,REJECTED,7.9817
108,5,-2.9966,REJECTED,8.0513
109,6,-2.9976,ACCEPTED,8.1226
110,6,-2.9976,REJECTED,8.1946
111,3,-2.9976,REJECTED,8.2654
112,8,-2.9976,REJECTED,8.3363
113,3,-2.9976,REJECTED,8.4079
114,8,-2.9976,REJECTED,8.4788
115,2,-2.9976,REJECTED,8.5489
116,6,-2.9976,REJECTED,8.6215
117,0,-2.9976,REJECTED,8.6948
118,1,-2.9976,REJECTED,8.7662
119,4,-2.9976,REJECTED,8.8362
120,1,-2.9976,REJECTED,8.9051
121,2,-2.9976,REJECTED,8.9762
122,6,-2.9976,REJECTED,9.047
123,1,-2.9976,REJECTED,9.1161
124,0,-2.9976,REJECTED,9.1862
125,2,-2.9976,REJECTED,9.2569
126,6,-2.9976,REJECTED,9.3268
127,6,-2.9976,REJECTED,9.4049
128,2,-2.9976,REJECTED,9.4819
129,6,-2.9976,REJECTED,9.5613
130,0,-2.9976,REJECTED,9.6395
131,0,-2.9976,REJECTED,9.7155
132,4,-2.9976,REJECTED,9.7901
133,0,-2.9976,REJECTED,9.8694
134,7,-2.9976,REJECTED,9.9487
135,8,-2.9976,REJECTED,10.0243
136,4,-2.9976,REJECTED,10.1012
