generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
0,N/A,-0.5479,-1.5479,START,0.0
1,1,-0.646,-1.646,ACCEPTED,0.1714
2,2,-0.646,-1.646,REJECTED,0.2398
3,1,-0.9226,-1.9226,ACCEPTED,0.3074
4,2,-0.9226,-1.9226,REJECTED,0.3765
5,0,-0.9526,-1.9526,ACCEPTED,0.4438
6,1,-0.9526,-1.9526,REJECTED,0.5121
7,2,-0.9526,-1.9526,REJECTED,0.5799
8,1,-0.9526,-1.9526,REJECTED,0.647
9,1,-0.9526,-1.9526,REJECTED,0.7141
10,1,-0.9626,-1.9626,ACCEPTED,0.7819
11,1,-0.9626,-1.9626,REJECTED,0.8498
12,0,-0.9839,-1.9839,ACCEPTED,0.9199
13,1,-0.9839,-1.9839,REJECTED,0.9899
14,1,-0.9839,-1.9839,REJECTED,1.0619
15,1,-0.9839,-1.9839,REJECTED,1.1326
16,1,-0.9839,-1.9839,REJECTED,1.2041
17,0,-0.9839,-1.9839,REJECTED,1.2722
18,1,-0.9839,-1.9839,REJECTED,1.3402
19,2,-0.9839,-1.9839,REJECTED,1.4091
20,2,-0.9839,-1.9839,REJECTED,1.4791
21,1,-0.9839,-1.9839,REJECTED,1.5492
22,2,-0.9839,-1.9839,REJECTED,1.6173
23,1,-0.9839,-1.9839,REJECTED,1.6851
24,2,-0.9839,-1.9839,REJECTED,1.7547
25,2,-0.9839,-1.9839,REJECTED,1.8236
26,1,-0.9839,-1.9839,REJECTED,1.8924
27,0,-0.9839,-1.9839,REJECTED,1.9609
28,0,-0.9978,-1.9978,ACCEPTED,2.0289
29,1,-0.9978,-1.9978,REJECTED,2.0968
30,0,-0.9978,-1.9978,REJECTED,2.1653
31,1,-0.9978,-1.9978,REJECTED,2.2327
32,2,-0.9978,-1.9978,REJECTED,2.3016
33,2,-0.9978,-1.9978,REJECTED,2.3698
34,1,-0.9978,-1.9978,REJECTED,2.4382
35,0,-0.9978,-1.9978,REJECTED,2.507
36,2,-0.9978,-1.9978,REJECTED,2.5743
37,0,-0.9978,-1.9978,REJECTED,2.6426
38,1,-0.9978,-1.9978,REJECTED,2.7106
39,0,-0.9978,-1.9978,REJECTED,2.7805
40,2,-0.9978,-1.9978,REJECTED,2.8481
41,0,-0.9978,-1.9978,REJECTED,2.9168
42,2,-0.9978,-1.9978,REJECTED,2.9847
43,0,-0.9978,-1.9978,REJECTED,3.0525
44,2,-0.9978,-1.9978,REJECTED,3.1209
45,0,-0.9978,-1.9978,REJECTED,3.1892
46,1,-0.9978,-1.9978,REJECTED,3.2569
47,2,-0.9978,-1.9978,REJECTED,3.3251
48,2,-0.9978,-1.9978,REJECTED,3.3933
49,2,-0.9978,-1.9978,REJECTED,3.4615
50,0,-0.9978,-1.9978,REJECTED,3.5285
51,2,-0.9978,-1.9978,REJECTED,3.5973
52,1,-0.9978,-1.9978,REJECTED,3.6661
53,1,-0.9978,-1.9978,REJECTED,3.733
54,0,-0.9978,-1.9978,REJECTED,3.8016
55,2,-0.9978,-1.9978,REJECTED,3.87
56,2,-0.9978,-1.9978,REJECTED,3.9376
57,1,-0.9978,-1.9978,REJECTED,4.0055
58,1,-0.9978,-1.9978,REJECTED,4.0732
59,0,-0.9978,-1.9978,REJECTED,4.1413
60,1,-0.9978,-1.9978,REJECTED,4.2093
61,2,-0.9978,-1.9978,REJECTED,4.2776
62,1,-0.9978,-1.9978,REJECTED,4.3459
63,0,-0.9978,-1.9978,REJECTED,4.4133
64,0,-0.9978,-1.9978,REJECTED,4.4808
65,2,-0.9978,-1.9978,REJECTED,4.5493
66,1,-0.9978,-1.9978,REJECTED,4.6169
67,1,-0.9978,-1.9978,REJECTED,4.6842
68,0,-0.9978,-1.9978,REJECTED,4.7521
69,2,-0.9978,-1.9978,REJECTED,4.8211
70,2,-0.9978,-1.9978,REJECTED,4.8891
71,0,-0.9978,-1.9978,REJECTED,4.9585
72,0,-0.9978,-1.9978,REJECTED,5.0276
73,0,-0.9978,-1.9978,REJECTED,5.0955
74,0,-0.9978,-1.9978,REJECTED,5.1643
75,0,-0.9978,-1.9978,REJECTED,5.233
76,2,-0.9978,-1.9978,REJECTED,5.3012
77,2,-0.9978,-1.9978,REJECTED,5.369
78,2,-0.9978,-1.9978,REJECTED,5.4377
79,0,-0.9978,-1.9978,REJECTED,5.5068
80,0,-0.9978,-1.9978,REJECTED,5.575
81,0,-0.9978,-1.9978,REJECTED,5.643
82,1,-0.9978,-1.9978,REJECTED,5.7111
83,1,-0.9978,-1.9978,REJECTED,5.7792
84,2,-0.9978,-1.9978,REJECTED,5.8466
85,0,-0.9978,-1.9978,REJECTED,5.9134
86,0,-0.9978,-1.9978,REJECTED,5.982
87,0,-0.9978,-1.9978,REJECTED,6.0505
88,1,-0.9978,-1.9978,REJECTED,6.1195
89,0,-0.9978,-1.9978,REJECTED,6.1872
90,1,-0.9978,-1.9978,REJECTED,6.2555
91,2,-0.9978,-1.9978,REJECTED,6.3232
92,2,-0.9978,-1.9978,REJECTED,6.3909
93,0,-0.9978,-1.9978,REJECTED,6.4586
94,1,-0.9978,-1.9978,REJECTED,6.5273
95,0,-0.9978,-1.9978,REJECTED,6.5943
96,0,-0.9978,-1.9978,REJECTED,6.6614
97,2,-0.9978,-1.9978,REJECTED,6.7278
98,0,-0.9978,-1.9978,REJECTED,6.7955
99,2,-0.9978,-1.9978,REJECTED,6.8649
100,0,-0.9978,-1.9978,REJECTED,6.9329
