generation,qubit_mutated,energy,objective_cx,temperature,status,time_elapsed_sec
0,N/A,-0.9326,-1.9326,2.0,START,0.0
1,1,-0.9324,-1.9324,1.9,"ACCEPTED (escape, p=1.000)",0.1792
2,2,-0.699,-1.699,1.805,"ACCEPTED (escape, p=0.879)",0.2499
3,1,-0.6885,-1.6885,1.7147,"ACCEPTED (escape, p=0.994)",0.3203
4,1,-0.6829,-1.6829,1.629,"ACCEPTED (escape, p=0.997)",0.3899
5,1,-0.6257,-1.6257,1.5476,"ACCEPTED (escape, p=0.964)",0.4587
6,2,-0.4492,-1.4492,1.4702,"ACCEPTED (escape, p=0.887)",0.5268
7,1,-0.4387,-1.4387,1.3967,"ACCEPTED (escape, p=0.993)",0.5974
8,0,-0.4651,-1.4651,1.3268,ACCEPTED (improvement),0.6714
9,0,-0.4807,-1.4807,1.2605,ACCEPTED (improvement),0.7418
10,0,-0.4778,-1.4778,1.1975,"ACCEPTED (escape, p=0.998)",0.8127
11,2,-0.6074,-1.6074,1.1376,ACCEPTED (improvement),0.8831
12,1,-0.6348,-1.6348,1.0807,ACCEPTED (improvement),0.9513
13,0,-0.6194,-1.6194,1.0267,"ACCEPTED (escape, p=0.985)",1.0199
14,1,-0.6118,-1.6118,0.9753,"ACCEPTED (escape, p=0.992)",1.089
15,2,-0.3408,-1.3408,0.9266,"ACCEPTED (escape, p=0.746)",1.1699
16,2,-0.6313,-1.6313,0.8803,ACCEPTED (improvement),1.2408
17,2,-0.8193,-1.8193,0.8362,ACCEPTED (improvement),1.3108
18,2,-0.5723,-1.5723,0.7944,"ACCEPTED (escape, p=0.733)",1.3826
19,1,-0.5654,-1.5654,0.7547,"ACCEPTED (escape, p=0.991)",1.4544
20,0,-0.4033,-1.4033,0.717,"ACCEPTED (escape, p=0.798)",1.5276
21,2,-0.281,-1.281,0.6811,"ACCEPTED (escape, p=0.836)",1.6032
22,2,-0.3833,-1.3833,0.6471,ACCEPTED (improvement),1.6754
23,1,-0.4009,-1.4009,0.6147,ACCEPTED (improvement),1.7457
24,1,-0.3828,-1.3828,0.584,"ACCEPTED (escape, p=0.970)",1.8158
25,2,-0.5061,-1.5061,0.5548,ACCEPTED (improvement),1.8861
26,2,-0.6006,-1.6006,0.527,ACCEPTED (improvement),1.9571
27,2,-0.4944,-1.4944,0.5007,"ACCEPTED (escape, p=0.809)",2.0266
28,0,-0.4148,-1.4148,0.4757,"ACCEPTED (escape, p=0.846)",2.0976
29,1,-0.3994,-1.3994,0.4519,"ACCEPTED (escape, p=0.967)",2.1702
30,0,-0.3994,-1.3994,0.4293,REJECTED,2.239
31,0,-0.1809,-1.1809,0.4078,"ACCEPTED (escape, p=0.585)",2.3066
32,0,-0.4978,-1.4978,0.3874,ACCEPTED (improvement),2.3755
33,1,-0.4988,-1.4988,0.3681,ACCEPTED (improvement),2.4442
34,2,-0.4988,-1.4988,0.3496,REJECTED,2.5143
35,0,-0.4419,-1.4419,0.3322,"ACCEPTED (escape, p=0.843)",2.5868
36,1,-0.4829,-1.4829,0.3156,ACCEPTED (improvement),2.6601
37,2,-0.6426,-1.6426,0.2998,ACCEPTED (improvement),2.7389
38,0,-0.7146,-1.7146,0.2848,ACCEPTED (improvement),2.8118
39,0,-0.6953,-1.6953,0.2706,"ACCEPTED (escape, p=0.931)",2.8803
40,0,-0.4558,-1.4558,0.257,"ACCEPTED (escape, p=0.394)",2.9485
41,1,-0.4114,-1.4114,0.2442,"ACCEPTED (escape, p=0.834)",3.0182
42,0,-0.4998,-1.4998,0.232,ACCEPTED (improvement),3.0875
43,2,-0.4128,-1.4128,0.2204,"ACCEPTED (escape, p=0.674)",3.1564
44,1,-0.4128,-1.4128,0.2093,REJECTED,3.2249
45,0,-0.4871,-1.4871,0.1989,ACCEPTED (improvement),3.294
46,1,-0.4341,-1.4341,0.1889,"ACCEPTED (escape, p=0.755)",3.3636
47,2,-0.4688,-1.4688,0.1795,ACCEPTED (improvement),3.433
48,1,-0.4553,-1.4553,0.1705,"ACCEPTED (escape, p=0.924)",3.5092
49,1,-0.5159,-1.5159,0.162,ACCEPTED (improvement),3.5844
50,0,-0.5215,-1.5215,0.1539,ACCEPTED (improvement),3.6586
51,0,-0.5215,-1.5215,0.1462,REJECTED,3.7294
52,1,-0.5215,-1.5215,0.1389,REJECTED,3.7988
53,2,-0.5215,-1.5215,0.1319,REJECTED,3.8678
54,2,-0.5728,-1.5728,0.1253,ACCEPTED (improvement),3.9377
55,0,-0.5652,-1.5652,0.1191,"ACCEPTED (escape, p=0.938)",4.0103
56,0,-0.5652,-1.5652,0.1131,REJECTED,4.08
57,1,-0.6177,-1.6177,0.1075,ACCEPTED (improvement),4.1505
58,2,-0.6177,-1.6177,0.1021,REJECTED,4.2214
59,0,-0.6177,-1.6177,0.097,REJECTED,4.2925
60,2,-0.6458,-1.6458,0.0921,ACCEPTED (improvement),4.3624
61,0,-0.6458,-1.6458,0.0875,REJECTED,4.4324
62,1,-0.677,-1.677,0.0832,ACCEPTED (improvement),4.5016
63,1,-0.677,-1.677,0.079,REJECTED,4.5711
64,0,-0.6895,-1.6895,0.075,ACCEPTED (improvement),4.643
65,2,-0.6895,-1.6895,0.0713,REJECTED,4.715
66,0,-0.6895,-1.6895,0.0677,REJECTED,4.7857
67,2,-0.7212,-1.7212,0.0643,ACCEPTED (improvement),4.8553
68,1,-0.7212,-1.7212,0.0611,REJECTED,4.9261
69,2,-0.749,-1.749,0.0581,ACCEPTED (improvement),4.9952
70,2,-0.749,-1.749,0.0552,REJECTED,5.0649
71,0,-0.749,-1.749,0.0524,REJECTED,5.1337
72,2,-0.749,-1.749,0.0498,REJECTED,5.2047
73,1,-0.749,-1.749,0.0473,REJECTED,5.2812
74,1,-0.749,-1.749,0.0449,REJECTED,5.3509
75,2,-0.7349,-1.7349,0.0427,"ACCEPTED (escape, p=0.718)",5.4235
76,1,-0.7349,-1.7349,0.0406,"ACCEPTED (escape, p=1.000)",5.4975
77,1,-0.731,-1.731,0.0385,"ACCEPTED (escape, p=0.904)",5.5754
78,1,-0.731,-1.731,0.0366,REJECTED,5.6456
79,1,-0.731,-1.731,0.0348,REJECTED,5.7168
80,0,-0.731,-1.731,0.033,REJECTED,5.7914
81,1,-0.731,-1.731,0.0314,REJECTED,5.8606
82,2,-0.7449,-1.7449,0.0298,ACCEPTED (improvement),5.9331
83,1,-0.7449,-1.7449,0.0283,REJECTED,6.027
84,1,-0.7495,-1.7495,0.0269,ACCEPTED (improvement),6.0988
85,1,-0.7424,-1.7424,0.0256,"ACCEPTED (escape, p=0.758)",6.168
86,0,-0.863,-1.863,0.0243,ACCEPTED (improvement),6.2404
87,0,-0.9705,-1.9705,0.0231,ACCEPTED (improvement),6.3103
88,0,-0.9705,-1.9705,0.0219,REJECTED,6.3832
89,1,-0.9749,-1.9749,0.0208,ACCEPTED (improvement),6.4513
90,0,-0.9685,-1.9685,0.0198,"ACCEPTED (escape, p=0.725)",6.5201
91,1,-0.9685,-1.9685,0.0188,REJECTED,6.5887
92,1,-0.9685,-1.9685,0.0178,REJECTED,6.6614
93,2,-0.9685,-1.9685,0.017,REJECTED,6.7363
94,0,-0.9685,-1.9685,0.0161,REJECTED,6.8079
95,2,-0.9685,-1.9685,0.0153,REJECTED,6.8776
96,0,-0.9685,-1.9685,0.0145,REJECTED,6.9511
97,0,-0.9744,-1.9744,0.0138,ACCEPTED (improvement),7.0213
98,0,-0.9744,-1.9744,0.0131,REJECTED,7.092
99,1,-0.9509,-1.9509,0.0125,"ACCEPTED (escape, p=0.153)",7.1642
100,0,-0.9509,-1.9509,0.0118,REJECTED,7.2361
