generation,energy,objective_cx,status,time_elapsed_sec
0,-2.1504,-9.1504,START,0.0
1,-2.6765,-9.6765,POP_UPDATED,2.9464
2,-2.6765,-9.6765,POP_UPDATED,4.3997
3,-2.6765,-9.6765,POP_UPDATED,5.9433
4,-2.6765,-9.6765,POP_UPDATED,7.5543
5,-3.0068,-10.0068,POP_UPDATED,9.0234
6,-3.0068,-10.0068,POP_UPDATED,10.5047
7,-4.5825,-11.5825,POP_UPDATED,11.9665
8,-4.5825,-11.5825,POP_UPDATED,13.4347
9,-4.5825,-11.5825,POP_UPDATED,14.9044
10,-4.5825,-11.5825,POP_UPDATED,16.379
11,-4.5825,-11.5825,POP_UPDATED,17.9985
12,-4.5825,-11.5825,POP_UPDATED,19.4582
13,-4.5825,-11.5825,POP_UPDATED,20.9401
14,-4.5825,-11.5825,POP_UPDATED,22.4121
15,-4.5825,-11.5825,POP_UPDATED,23.8563
16,-4.5825,-11.5825,POP_UPDATED,25.3065
17,-4.5825,-11.5825,POP_UPDATED,26.8599
18,-4.5825,-11.5825,POP_UPDATED,28.309
19,-4.5825,-11.5825,POP_UPDATED,29.7728
20,-4.5825,-11.5825,POP_UPDATED,31.3216
21,-4.5825,-11.5825,POP_UPDATED,32.8073
22,-4.5825,-11.5825,POP_UPDATED,34.2701
23,-4.5825,-11.5825,POP_UPDATED,35.724
24,-4.6411,-11.6411,POP_UPDATED,37.2359
25,-4.6411,-11.6411,POP_UPDATED,38.703
26,-4.6411,-11.6411,POP_UPDATED,40.1728
27,-4.6411,-11.6411,POP_UPDATED,41.6381
28,-4.6411,-11.6411,POP_UPDATED,43.0924
29,-4.6411,-11.6411,POP_UPDATED,44.5483
30,-4.6411,-11.6411,POP_UPDATED,45.9966
31,-4.6411,-11.6411,POP_UPDATED,47.4403
32,-4.6411,-11.6411,POP_UPDATED,49.0009
33,-4.6411,-11.6411,POP_UPDATED,50.456
34,-4.6411,-11.6411,POP_UPDATED,51.9168
35,-4.6411,-11.6411,POP_UPDATED,53.3686
36,-4.6411,-11.6411,POP_UPDATED,54.842
37,-4.6411,-11.6411,POP_UPDATED,56.3043
38,-4.6411,-11.6411,POP_UPDATED,57.7433
39,-4.6411,-11.6411,POP_UPDATED,59.2028
40,-4.6411,-11.6411,POP_UPDATED,60.6526
41,-4.6411,-11.6411,POP_UPDATED,62.0953
42,-4.6411,-11.6411,POP_UPDATED,63.6104
43,-4.6411,-11.6411,POP_UPDATED,65.1497
44,-4.6411,-11.6411,POP_UPDATED,66.6148
45,-4.6411,-11.6411,POP_UPDATED,68.0765
46,-4.6411,-11.6411,POP_UPDATED,69.6365
47,-4.6411,-11.6411,POP_UPDATED,71.1807
48,-4.6411,-11.6411,POP_UPDATED,72.7
49,-4.6411,-11.6411,POP_UPDATED,74.1648
50,-4.6411,-11.6411,POP_UPDATED,75.6726
51,-4.6411,-11.6411,POP_UPDATED,77.1371
52,-4.6411,-11.6411,POP_UPDATED,78.5967
53,-4.6411,-11.6411,POP_UPDATED,80.0499
54,-4.6411,-11.6411,POP_UPDATED,81.5786
55,-4.6411,-11.6411,POP_UPDATED,83.072
56,-4.6411,-11.6411,POP_UPDATED,84.5441
57,-4.6411,-11.6411,POP_UPDATED,86.029
58,-4.6411,-11.6411,POP_UPDATED,87.4926
59,-4.6411,-11.6411,POP_UPDATED,88.9526
60,-4.6411,-11.6411,POP_UPDATED,90.4192
61,-4.6411,-11.6411,POP_UPDATED,91.8726
62,-4.6411,-11.6411,POP_UPDATED,93.3596
63,-4.6411,-11.6411,POP_UPDATED,94.952
64,-4.6411,-11.6411,POP_UPDATED,96.4194
65,-4.6411,-11.6411,POP_UPDATED,97.9133
66,-4.6411,-11.6411,POP_UPDATED,99.3831
67,-4.6411,-11.6411,POP_UPDATED,100.8944
68,-4.6411,-11.6411,POP_UPDATED,102.4891
69,-4.6411,-11.6411,POP_UPDATED,103.9587
70,-4.6411,-11.6411,POP_UPDATED,105.4102
71,-4.6411,-11.6411,POP_UPDATED,106.917
72,-4.6411,-11.6411,POP_UPDATED,108.3736
73,-4.6411,-11.6411,POP_UPDATED,109.8246
74,-4.6411,-11.6411,POP_UPDATED,111.2873
75,-4.6411,-11.6411,POP_UPDATED,112.7608
76,-4.6411,-11.6411,POP_UPDATED,114.2124
77,-4.6411,-11.6411,POP_UPDATED,115.6741
78,-4.6411,-11.6411,POP_UPDATED,117.271
