generation,energy,objective_cx,status,time_elapsed_sec
0,-3.0029,-10.0029,START,0.0
1,-3.78,-10.78,NEW_ELITE,3.1014
2,-4.5676,-11.5676,NEW_ELITE,4.6764
3,-4.5676,-11.5676,EVOLVING,6.3667
4,-4.7539,-11.7539,NEW_ELITE,8.1181
5,-4.7539,-11.7539,EVOLVING,9.854
6,-5.0554,-12.0554,NEW_ELITE,11.5094
7,-5.2297,-12.2297,NEW_ELITE,13.1878
8,-5.2297,-12.2297,EVOLVING,14.8088
9,-5.4426,-12.4426,NEW_ELITE,16.4207
10,-5.4792,-12.4792,NEW_ELITE,17.8645
11,-5.7222,-12.7222,NEW_ELITE,19.3449
12,-5.7222,-12.7222,EVOLVING,20.7625
13,-6.0269,-13.0269,NEW_ELITE,22.2702
14,-6.0269,-13.0269,EVOLVING,23.8035
15,-6.0903,-13.0903,NEW_ELITE,25.3816
16,-6.2078,-13.2078,NEW_ELITE,26.9135
17,-6.2271,-13.2271,NEW_ELITE,28.527
18,-6.2925,-13.2925,NEW_ELITE,30.1988
19,-6.3389,-13.3389,NEW_ELITE,31.8943
20,-6.3906,-13.3906,NEW_ELITE,33.5778
21,-6.4651,-13.4651,NEW_ELITE,35.1039
22,-6.5579,-13.5579,NEW_ELITE,36.5546
23,-6.6335,-13.6335,NEW_ELITE,38.0407
24,-6.6765,-13.6765,NEW_ELITE,39.4526
25,-6.8557,-13.8557,NEW_ELITE,40.8778
26,-6.8672,-13.8672,NEW_ELITE,42.2775
27,-6.8931,-13.8931,NEW_ELITE,43.7361
28,-6.8931,-13.8931,EVOLVING,45.1744
29,-6.9146,-13.9146,NEW_ELITE,46.6736
30,-6.915,-13.915,NEW_ELITE,48.149
31,-6.915,-13.915,EVOLVING,49.618
32,-6.9265,-13.9265,NEW_ELITE,51.1137
33,-6.9265,-13.9265,EVOLVING,52.6279
34,-6.927,-13.927,NEW_ELITE,54.3156
35,-6.9292,-13.9292,NEW_ELITE,55.9485
36,-6.9307,-13.9307,NEW_ELITE,57.6729
37,-6.9507,-13.9507,NEW_ELITE,59.3031
38,-6.9548,-13.9548,NEW_ELITE,60.985
39,-6.9673,-13.9673,NEW_ELITE,62.6328
40,-6.9697,-13.9697,NEW_ELITE,64.3766
41,-6.9778,-13.9778,NEW_ELITE,66.1301
42,-6.9778,-13.9778,EVOLVING,67.8162
43,-6.9778,-13.9778,EVOLVING,69.2498
44,-6.9778,-13.9778,EVOLVING,70.8116
45,-6.9805,-13.9805,NEW_ELITE,72.3727
46,-6.9861,-13.9861,NEW_ELITE,73.8508
47,-6.9888,-13.9888,NEW_ELITE,75.4865
48,-6.9897,-13.9897,NEW_ELITE,76.9227
49,-6.9897,-13.9897,EVOLVING,78.3386
50,-6.9917,-13.9917,NEW_ELITE,79.7469
51,-6.9919,-13.9919,NEW_ELITE,81.1597
