generation,energy,objective_cx,status,time_elapsed_sec
0,-1.4346,-8.4346,START,0.0
1,-1.6143,-8.6143,IMPROVED,2.2897
2,-1.7998,-8.7998,IMPROVED,4.5396
3,-1.968,-8.968,IMPROVED,6.7474
4,-2.1492,-9.1492,IMPROVED,8.9362
5,-2.3105,-9.3105,IMPROVED,11.1751
6,-2.5349,-9.5349,IMPROVED,13.3609
7,-2.6667,-9.6667,IMPROVED,15.5482
8,-2.783,-9.783,IMPROVED,17.744
9,-2.9819,-9.9819,IMPROVED,19.9489
10,-3.0972,-10.0972,IMPROVED,22.1379
11,-3.1917,-10.1917,IMPROVED,24.3333
12,-3.2881,-10.2881,IMPROVED,26.5157
13,-3.45,-10.45,IMPROVED,28.6943
14,-3.5879,-10.5879,IMPROVED,30.8723
15,-3.6323,-10.6323,IMPROVED,33.0501
16,-3.8235,-10.8235,IMPROVED,35.2186
17,-3.8862,-10.8862,IMPROVED,37.3993
18,-4.0337,-11.0337,IMPROVED,39.5967
19,-4.1367,-11.1367,IMPROVED,41.7662
20,-4.2439,-11.2439,IMPROVED,43.9362
21,-4.3635,-11.3635,IMPROVED,46.237
22,-4.4902,-11.4902,IMPROVED,48.4885
23,-4.5852,-11.5852,IMPROVED,50.9625
24,-4.6665,-11.6665,IMPROVED,53.6005
25,-4.7625,-11.7625,IMPROVED,55.9554
26,-4.8259,-11.8259,IMPROVED,58.241
27,-4.917,-11.917,IMPROVED,60.3944
28,-5.0061,-12.0061,IMPROVED,62.5662
29,-5.0896,-12.0896,IMPROVED,64.8358
30,-5.1689,-12.1689,IMPROVED,67.0053
31,-5.2529,-12.2529,IMPROVED,69.1558
32,-5.3381,-12.3381,IMPROVED,71.3026
33,-5.4133,-12.4133,IMPROVED,73.4613
34,-5.4873,-12.4873,IMPROVED,75.6137
35,-5.5544,-12.5544,IMPROVED,77.7706
36,-5.623,-12.623,IMPROVED,79.9218
37,-5.6658,-12.6658,IMPROVED,82.1341
38,-5.7229,-12.7229,IMPROVED,84.3414
