generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
0,N/A,-1.4346,-8.4346,START,0.0
1,7,-1.4346,-8.4346,REJECTED,0.1862
2,12,-1.4346,-8.4346,REJECTED,0.2567
3,3,-1.4346,-8.4346,REJECTED,0.3281
4,6,-1.4346,-8.4346,REJECTED,0.4007
5,3,-1.4346,-8.4346,REJECTED,0.4767
6,4,-1.4346,-8.4346,REJECTED,0.5485
7,14,-1.4346,-8.4346,REJECTED,0.6217
8,1,-1.4521,-8.4521,ACCEPTED,0.6947
9,7,-1.5129,-8.5129,ACCEPTED,0.7702
10,13,-1.5347,-8.5347,ACCEPTED,0.8449
11,10,-1.5347,-8.5347,REJECTED,0.9205
12,7,-1.5347,-8.5347,REJECTED,0.994
13,1,-1.5347,-8.5347,REJECTED,1.0662
14,0,-1.5684,-8.5684,ACCEPTED,1.1394
15,11,-1.5684,-8.5684,REJECTED,1.2193
16,2,-1.5952,-8.5952,ACCEPTED,1.2947
17,12,-1.5952,-8.5952,REJECTED,1.3676
18,6,-1.5952,-8.5952,REJECTED,1.4386
19,6,-1.6057,-8.6057,ACCEPTED,1.511
20,6,-1.8511,-8.8511,ACCEPTED,1.5843
21,9,-1.8511,-8.8511,REJECTED,1.6562
22,4,-1.8511,-8.8511,REJECTED,1.728
23,10,-1.8511,-8.8511,REJECTED,1.8009
24,5,-1.9795,-8.9795,ACCEPTED,1.871
25,10,-1.999,-8.999,ACCEPTED,1.9437
26,0,-1.999,-8.999,REJECTED,2.0166
27,0,-1.999,-8.999,REJECTED,2.0889
28,11,-1.999,-8.999,REJECTED,2.1588
29,13,-1.999,-8.999,REJECTED,2.2305
30,5,-2.0359,-9.0359,ACCEPTED,2.3019
31,11,-2.0359,-9.0359,REJECTED,2.3745
32,10,-2.0359,-9.0359,REJECTED,2.4458
33,7,-2.0359,-9.0359,REJECTED,2.5155
34,3,-2.0359,-9.0359,REJECTED,2.5854
35,6,-2.0359,-9.0359,REJECTED,2.6547
36,11,-2.0359,-9.0359,REJECTED,2.7267
37,0,-2.0359,-9.0359,REJECTED,2.7983
38,12,-2.0359,-9.0359,REJECTED,2.868
39,4,-2.0359,-9.0359,REJECTED,2.9379
40,9,-2.0359,-9.0359,REJECTED,3.0115
41,7,-2.0359,-9.0359,REJECTED,3.0884
42,11,-2.0359,-9.0359,REJECTED,3.1592
43,14,-2.1494,-9.1494,ACCEPTED,3.2297
44,12,-2.1494,-9.1494,REJECTED,3.304
45,14,-2.2231,-9.2231,ACCEPTED,3.3757
46,7,-2.251,-9.251,ACCEPTED,3.4479
47,0,-2.251,-9.251,REJECTED,3.5214
48,5,-2.3379,-9.3379,ACCEPTED,3.5924
49,10,-2.4292,-9.4292,ACCEPTED,3.679
50,12,-2.9224,-9.9224,ACCEPTED,3.7529
51,3,-2.9224,-9.9224,REJECTED,3.8257
52,8,-2.96,-9.96,ACCEPTED,3.8963
53,11,-2.96,-9.96,REJECTED,3.9678
54,7,-2.96,-9.96,REJECTED,4.0388
55,0,-2.96,-9.96,REJECTED,4.1108
56,9,-3.0444,-10.0444,ACCEPTED,4.183
57,5,-3.0444,-10.0444,REJECTED,4.2561
58,7,-3.0581,-10.0581,ACCEPTED,4.3272
59,3,-3.0581,-10.0581,REJECTED,4.4062
60,6,-3.1375,-10.1375,ACCEPTED,4.4798
61,3,-3.1807,-10.1807,ACCEPTED,4.5576
62,11,-3.1807,-10.1807,REJECTED,4.632
63,3,-3.1807,-10.1807,REJECTED,4.7032
64,5,-3.1807,-10.1807,REJECTED,4.7742
65,2,-3.1807,-10.1807,REJECTED,4.8446
66,6,-3.2991,-10.2991,ACCEPTED,4.914
67,1,-3.3499,-10.3499,ACCEPTED,4.9853
68,4,-3.3499,-10.3499,REJECTED,5.0578
69,8,-3.4312,-10.4312,ACCEPTED,5.1287
70,5,-3.4312,-10.4312,REJECTED,5.1995
71,9,-3.4526,-10.4526,ACCEPTED,5.2695
72,2,-3.4526,-10.4526,REJECTED,5.342
73,6,-3.4846,-10.4846,ACCEPTED,5.4161
74,7,-3.4846,-10.4846,REJECTED,5.4895
75,1,-3.4846,-10.4846,REJECTED,5.5599
76,12,-3.4846,-10.4846,REJECTED,5.6299
77,4,-3.5066,-10.5066,ACCEPTED,5.6992
78,8,-3.5066,-10.5066,REJECTED,5.7724
79,13,-3.5603,-10.5603,ACCEPTED,5.8451
80,1,-3.5603,-10.5603,REJECTED,5.9185
81,5,-3.5603,-10.5603,REJECTED,5.9931
82,12,-3.5603,-10.5603,REJECTED,6.0636
83,2,-3.5603,-10.5603,REJECTED,6.1351
84,4,-3.5891,-10.5891,ACCEPTED,6.2106
85,7,-3.6396,-10.6396,ACCEPTED,6.288
86,13,-3.6396,-10.6396,REJECTED,6.3609
87,12,-3.6396,-10.6396,REJECTED,6.4304
88,2,-3.6396,-10.6396,REJECTED,6.5018
89,12,-3.6396,-10.6396,REJECTED,6.5728
90,1,-3.6396,-10.6396,REJECTED,6.6441
91,2,-3.6396,-10.6396,REJECTED,6.7135
92,5,-3.6396,-10.6396,REJECTED,6.7835
93,12,-3.6396,-10.6396,REJECTED,6.8562
94,10,-3.6396,-10.6396,REJECTED,6.927
95,8,-3.6396,-10.6396,REJECTED,6.9986
96,6,-3.7246,-10.7246,ACCEPTED,7.0698
97,13,-3.7246,-10.7246,REJECTED,7.1483
98,3,-3.7246,-10.7246,REJECTED,7.2196
99,1,-3.7246,-10.7246,REJECTED,7.2898
100,11,-3.7246,-10.7246,REJECTED,7.3593
101,0,-3.7246,-10.7246,REJECTED,7.431
102,5,-3.7246,-10.7246,REJECTED,7.5016
103,3,-3.7246,-10.7246,REJECTED,7.5728
104,14,-3.7246,-10.7246,REJECTED,7.6453
105,6,-3.7542,-10.7542,ACCEPTED,7.7183
106,2,-3.7542,-10.7542,REJECTED,7.7902
107,1,-3.7808,-10.7808,ACCEPTED,7.8608
108,11,-3.7808,-10.7808,REJECTED,7.9324
109,1,-3.7808,-10.7808,REJECTED,8.0013
110,3,-3.7808,-10.7808,REJECTED,8.0699
111,13,-3.8401,-10.8401,ACCEPTED,8.138
112,3,-3.8401,-10.8401,REJECTED,8.2121
113,2,-3.8401,-10.8401,REJECTED,8.2821
114,14,-3.8401,-10.8401,REJECTED,8.3518
115,10,-3.8591,-10.8591,ACCEPTED,8.4222
116,10,-3.8591,-10.8591,REJECTED,8.4963
117,11,-3.8591,-10.8591,REJECTED,8.5656
118,1,-3.8591,-10.8591,REJECTED,8.6357
119,6,-3.8591,-10.8591,REJECTED,8.7056
120,12,-3.8591,-10.8591,REJECTED,8.7763
121,3,-3.8591,-10.8591,REJECTED,8.8448
122,3,-3.8591,-10.8591,REJECTED,8.916
123,9,-3.9595,-10.9595,ACCEPTED,8.987
124,11,-3.9595,-10.9595,REJECTED,9.0608
125,12,-3.9595,-10.9595,REJECTED,9.1295
126,10,-3.9595,-10.9595,REJECTED,9.1994
127,1,-3.9595,-10.9595,REJECTED,9.2676
128,2,-3.9595,-10.9595,REJECTED,9.3366
129,6,-3.9595,-10.9595,REJECTED,9.4068
130,1,-4.0635,-11.0635,ACCEPTED,9.4766
131,5,-4.0635,-11.0635,REJECTED,9.5478
132,8,-4.1287,-11.1287,ACCEPTED,9.6179
133,8,-4.1287,-11.1287,REJECTED,9.6887
134,6,-4.1287,-11.1287,REJECTED,9.7599
135,10,-4.1287,-11.1287,REJECTED,9.8283
136,7,-4.1287,-11.1287,REJECTED,9.8967
137,12,-4.1287,-11.1287,REJECTED,9.9666
138,14,-4.1287,-11.1287,REJECTED,10.0351
139,14,-4.1392,-11.1392,ACCEPTED,10.1032
140,6,-4.1392,-11.1392,REJECTED,10.1759
141,0,-4.1392,-11.1392,REJECTED,10.2461
142,3,-4.1392,-11.1392,REJECTED,10.3152
143,8,-4.2559,-11.2559,ACCEPTED,10.3852
144,5,-4.2559,-11.2559,REJECTED,10.4566
145,7,-4.2559,-11.2559,REJECTED,10.5276
146,0,-4.2559,-11.2559,REJECTED,10.5967
147,6,-4.2559,-11.2559,REJECTED,10.6649
148,8,-4.2559,-11.2559,REJECTED,10.733
