generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
0,N/A,-1.4346,-8.4346,START,0.0
1,7,-1.4346,-8.4346,REJECTED,0.2764
2,12,-1.4346,-8.4346,REJECTED,0.3514
3,3,-1.4346,-8.4346,REJECTED,0.4294
4,6,-1.4346,-8.4346,REJECTED,0.5018
5,3,-1.4346,-8.4346,REJECTED,0.5726
6,4,-1.4346,-8.4346,REJECTED,0.6458
7,14,-1.4346,-8.4346,REJECTED,0.7183
8,1,-1.4521,-8.4521,ACCEPTED,0.7911
9,7,-1.5129,-8.5129,ACCEPTED,0.8654
10,13,-1.5347,-8.5347,ACCEPTED,0.939
11,10,-1.5347,-8.5347,REJECTED,1.0126
12,7,-1.5347,-8.5347,REJECTED,1.0874
13,1,-1.5347,-8.5347,REJECTED,1.1647
14,0,-1.5684,-8.5684,ACCEPTED,1.2393
15,11,-1.5684,-8.5684,REJECTED,1.314
16,2,-1.5952,-8.5952,ACCEPTED,1.3864
17,12,-1.5952,-8.5952,REJECTED,1.461
18,6,-1.5952,-8.5952,REJECTED,1.5331
19,6,-1.6057,-8.6057,ACCEPTED,1.6047
20,6,-1.8511,-8.8511,ACCEPTED,1.68
21,9,-1.8511,-8.8511,REJECTED,1.7531
22,4,-1.8511,-8.8511,REJECTED,1.8253
23,10,-1.8511,-8.8511,REJECTED,1.8971
24,5,-1.9795,-8.9795,ACCEPTED,1.9696
25,10,-1.999,-8.999,ACCEPTED,2.0425
26,0,-1.999,-8.999,REJECTED,2.1186
27,0,-1.999,-8.999,REJECTED,2.1926
28,11,-1.999,-8.999,REJECTED,2.2629
29,13,-1.999,-8.999,REJECTED,2.3333
30,5,-2.0359,-9.0359,ACCEPTED,2.4037
31,11,-2.0359,-9.0359,REJECTED,2.4776
32,10,-2.0359,-9.0359,REJECTED,2.5495
33,7,-2.0359,-9.0359,REJECTED,2.6216
34,3,-2.0359,-9.0359,REJECTED,2.6925
35,6,-2.0359,-9.0359,REJECTED,2.7644
36,11,-2.0359,-9.0359,REJECTED,2.8356
37,0,-2.0359,-9.0359,REJECTED,2.907
38,12,-2.0359,-9.0359,REJECTED,2.9785
39,4,-2.0359,-9.0359,REJECTED,3.0502
40,9,-2.0359,-9.0359,REJECTED,3.1238
41,7,-2.0359,-9.0359,REJECTED,3.1969
42,11,-2.0359,-9.0359,REJECTED,3.2694
43,14,-2.1494,-9.1494,ACCEPTED,3.341
44,12,-2.1494,-9.1494,REJECTED,3.4142
45,14,-2.2231,-9.2231,ACCEPTED,3.4873
46,7,-2.251,-9.251,ACCEPTED,3.5587
47,0,-2.251,-9.251,REJECTED,3.6319
48,5,-2.3379,-9.3379,ACCEPTED,3.7023
49,10,-2.4292,-9.4292,ACCEPTED,3.7745
50,12,-2.9224,-9.9224,ACCEPTED,3.8492
51,3,-2.9224,-9.9224,REJECTED,3.9269
52,8,-2.96,-9.96,ACCEPTED,4.0032
53,11,-2.96,-9.96,REJECTED,4.0821
54,7,-2.96,-9.96,REJECTED,4.1634
55,0,-2.96,-9.96,REJECTED,4.281
56,9,-3.0444,-10.0444,ACCEPTED,4.3688
57,5,-3.0444,-10.0444,REJECTED,4.4533
58,7,-3.0581,-10.0581,ACCEPTED,4.5331
59,3,-3.0581,-10.0581,REJECTED,4.6076
60,6,-3.1375,-10.1375,ACCEPTED,4.6788
61,3,-3.1807,-10.1807,ACCEPTED,4.7514
62,11,-3.1807,-10.1807,REJECTED,4.8245
63,3,-3.1807,-10.1807,REJECTED,4.8984
64,5,-3.1807,-10.1807,REJECTED,4.9691
65,2,-3.1807,-10.1807,REJECTED,5.0408
66,6,-3.2991,-10.2991,ACCEPTED,5.1186
67,1,-3.3499,-10.3499,ACCEPTED,5.2153
68,4,-3.3499,-10.3499,REJECTED,5.2879
69,8,-3.4312,-10.4312,ACCEPTED,5.3589
70,5,-3.4312,-10.4312,REJECTED,5.4316
71,9,-3.4526,-10.4526,ACCEPTED,5.5038
72,2,-3.4526,-10.4526,REJECTED,5.5787
73,6,-3.4846,-10.4846,ACCEPTED,5.6505
74,7,-3.4846,-10.4846,REJECTED,5.723
75,1,-3.4846,-10.4846,REJECTED,5.7931
76,12,-3.4846,-10.4846,REJECTED,5.8646
77,4,-3.5066,-10.5066,ACCEPTED,5.9417
78,8,-3.5066,-10.5066,REJECTED,6.0181
79,13,-3.5603,-10.5603,ACCEPTED,6.1015
80,1,-3.5603,-10.5603,REJECTED,6.1858
81,5,-3.5603,-10.5603,REJECTED,6.2626
82,12,-3.5603,-10.5603,REJECTED,6.3404
83,2,-3.5603,-10.5603,REJECTED,6.4174
84,4,-3.5891,-10.5891,ACCEPTED,6.4943
85,7,-3.6396,-10.6396,ACCEPTED,6.5656
86,13,-3.6396,-10.6396,REJECTED,6.6374
87,12,-3.6396,-10.6396,REJECTED,6.7083
88,2,-3.6396,-10.6396,REJECTED,6.7818
89,12,-3.6396,-10.6396,REJECTED,6.8521
90,1,-3.6396,-10.6396,REJECTED,6.9235
91,2,-3.6396,-10.6396,REJECTED,6.9932
92,5,-3.6396,-10.6396,REJECTED,7.0673
93,12,-3.6396,-10.6396,REJECTED,7.1421
94,10,-3.6396,-10.6396,REJECTED,7.213
95,8,-3.6396,-10.6396,REJECTED,7.2847
96,6,-3.7246,-10.7246,ACCEPTED,7.3538
97,13,-3.7246,-10.7246,REJECTED,7.4255
98,3,-3.7246,-10.7246,REJECTED,7.4977
99,1,-3.7246,-10.7246,REJECTED,7.5686
100,11,-3.7246,-10.7246,REJECTED,7.6399
101,0,-3.7246,-10.7246,REJECTED,7.7104
102,5,-3.7246,-10.7246,REJECTED,7.7798
103,3,-3.7246,-10.7246,REJECTED,7.8508
104,14,-3.7246,-10.7246,REJECTED,7.9192
105,6,-3.7542,-10.7542,ACCEPTED,7.9895
106,2,-3.7542,-10.7542,REJECTED,8.0632
107,1,-3.7808,-10.7808,ACCEPTED,8.1391
108,11,-3.7808,-10.7808,REJECTED,8.2117
109,1,-3.7808,-10.7808,REJECTED,8.2822
110,3,-3.7808,-10.7808,REJECTED,8.3518
111,13,-3.8401,-10.8401,ACCEPTED,8.4229
112,3,-3.8401,-10.8401,REJECTED,8.4945
113,2,-3.8401,-10.8401,REJECTED,8.5652
114,14,-3.8401,-10.8401,REJECTED,8.6355
115,10,-3.8591,-10.8591,ACCEPTED,8.7057
116,10,-3.8591,-10.8591,REJECTED,8.7763
117,11,-3.8591,-10.8591,REJECTED,8.8461
118,1,-3.8591,-10.8591,REJECTED,8.9161
119,6,-3.8591,-10.8591,REJECTED,8.9855
120,12,-3.8591,-10.8591,REJECTED,9.0563
121,3,-3.8591,-10.8591,REJECTED,9.1315
122,3,-3.8591,-10.8591,REJECTED,9.203
123,9,-3.9595,-10.9595,ACCEPTED,9.2735
124,11,-3.9595,-10.9595,REJECTED,9.3459
125,12,-3.9595,-10.9595,REJECTED,9.4164
126,10,-3.9595,-10.9595,REJECTED,9.4869
127,1,-3.9595,-10.9595,REJECTED,9.5561
128,2,-3.9595,-10.9595,REJECTED,9.6261
129,6,-3.9595,-10.9595,REJECTED,9.6959
130,1,-4.0635,-11.0635,ACCEPTED,9.7661
131,5,-4.0635,-11.0635,REJECTED,9.8381
132,8,-4.1287,-11.1287,ACCEPTED,9.9093
133,8,-4.1287,-11.1287,REJECTED,9.9816
134,6,-4.1287,-11.1287,REJECTED,10.0536
135,10,-4.1287,-11.1287,REJECTED,10.1292
136,7,-4.1287,-11.1287,REJECTED,10.2019
137,12,-4.1287,-11.1287,REJECTED,10.2732
138,14,-4.1287,-11.1287,REJECTED,10.3418
139,14,-4.1392,-11.1392,ACCEPTED,10.4126
140,6,-4.1392,-11.1392,REJECTED,10.4842
141,0,-4.1392,-11.1392,REJECTED,10.5547
142,3,-4.1392,-11.1392,REJECTED,10.625
143,8,-4.2559,-11.2559,ACCEPTED,10.6958
144,5,-4.2559,-11.2559,REJECTED,10.7676
145,7,-4.2559,-11.2559,REJECTED,10.8384
146,0,-4.2559,-11.2559,REJECTED,10.9079
147,6,-4.2559,-11.2559,REJECTED,10.9768
148,8,-4.2559,-11.2559,REJECTED,11.0484
149,4,-4.2729,-11.2729,ACCEPTED,11.1231
150,0,-4.2729,-11.2729,REJECTED,11.2001
151,6,-4.2729,-11.2729,REJECTED,11.2723
152,8,-4.2729,-11.2729,REJECTED,11.3422
153,14,-4.2729,-11.2729,REJECTED,11.4138
154,11,-4.2729,-11.2729,REJECTED,11.4861
155,5,-4.2729,-11.2729,REJECTED,11.5585
156,9,-4.2729,-11.2729,REJECTED,11.6289
157,13,-4.2964,-11.2964,ACCEPTED,11.7003
158,4,-4.2964,-11.2964,REJECTED,11.773
159,12,-4.2964,-11.2964,REJECTED,11.8451
160,14,-4.2964,-11.2964,REJECTED,11.9143
161,2,-4.2964,-11.2964,REJECTED,11.9844
162,9,-4.3628,-11.3628,ACCEPTED,12.0576
163,11,-4.3628,-11.3628,REJECTED,12.1349
164,9,-4.5308,-11.5308,ACCEPTED,12.2072
165,4,-4.5308,-11.5308,REJECTED,12.2791
166,0,-4.5308,-11.5308,REJECTED,12.3485
167,11,-4.5422,-11.5422,ACCEPTED,12.4464
168,5,-4.5422,-11.5422,REJECTED,12.5224
169,9,-4.5422,-11.5422,REJECTED,12.5916
170,6,-4.5422,-11.5422,REJECTED,12.662
171,0,-4.5422,-11.5422,REJECTED,12.7311
172,12,-4.5422,-11.5422,REJECTED,12.8013
173,1,-4.5422,-11.5422,REJECTED,12.8698
174,13,-4.5764,-11.5764,ACCEPTED,12.9402
175,5,-4.5764,-11.5764,REJECTED,13.0108
176,3,-4.5764,-11.5764,REJECTED,13.0839
177,0,-4.5764,-11.5764,REJECTED,13.1594
178,11,-4.5764,-11.5764,REJECTED,13.231
179,0,-4.5764,-11.5764,REJECTED,13.301
180,14,-4.7095,-11.7095,ACCEPTED,13.3718
181,9,-4.7095,-11.7095,REJECTED,13.4436
182,5,-4.7095,-11.7095,REJECTED,13.515
183,9,-4.7095,-11.7095,REJECTED,13.5848
184,2,-4.7095,-11.7095,REJECTED,13.6558
185,6,-4.7095,-11.7095,REJECTED,13.7257
186,9,-4.7095,-11.7095,REJECTED,13.7969
187,4,-4.7571,-11.7571,ACCEPTED,13.8656
188,1,-4.7571,-11.7571,REJECTED,13.9353
189,10,-4.7681,-11.7681,ACCEPTED,14.0069
