generation,qubit_mutated,energy,objective_cx,temperature,status,time_elapsed_sec
0,N/A,-1.4346,-8.4346,2.0,START,0.0
1,5,-1.3645,-8.3645,1.9,"ACCEPTED (escape, p=0.964)",0.1489
2,13,-1.3721,-8.3721,1.805,ACCEPTED (improvement),0.2244
3,6,-1.3435,-8.3435,1.7147,"ACCEPTED (escape, p=0.983)",0.2985
4,7,-1.3025,-8.3025,1.629,"ACCEPTED (escape, p=0.975)",0.3717
5,4,-1.3855,-8.3855,1.5476,ACCEPTED (improvement),0.4465
6,10,-1.4524,-8.4524,1.4702,ACCEPTED (improvement),0.524
7,13,-1.4446,-8.4446,1.3967,"ACCEPTED (escape, p=0.994)",0.5994
8,8,-1.4446,-8.4446,1.3268,REJECTED,0.6748
9,6,-1.2417,-8.2417,1.2605,"ACCEPTED (escape, p=0.851)",0.7474
10,9,-1.4463,-8.4463,1.1975,ACCEPTED (improvement),0.8234
11,3,-1.4858,-8.4858,1.1376,ACCEPTED (improvement),0.9
12,1,-1.4849,-8.4849,1.0807,"ACCEPTED (escape, p=0.999)",0.9756
13,3,-1.4746,-8.4746,1.0267,"ACCEPTED (escape, p=0.990)",1.0489
14,0,-1.4878,-8.4878,0.9753,ACCEPTED (improvement),1.1217
15,12,-1.344,-8.344,0.9266,"ACCEPTED (escape, p=0.856)",1.1933
16,5,-1.6736,-8.6736,0.8803,ACCEPTED (improvement),1.2656
17,9,-1.8723,-8.8723,0.8362,ACCEPTED (improvement),1.3424
18,4,-1.7849,-8.7849,0.7944,"ACCEPTED (escape, p=0.896)",1.4151
19,6,-1.7122,-8.7122,0.7547,"ACCEPTED (escape, p=0.908)",1.4872
20,7,-1.8486,-8.8486,0.717,ACCEPTED (improvement),1.5588
21,4,-1.9629,-8.9629,0.6811,ACCEPTED (improvement),1.6332
22,2,-1.9438,-8.9438,0.6471,"ACCEPTED (escape, p=0.971)",1.7077
23,0,-1.96,-8.96,0.6147,ACCEPTED (improvement),1.7796
24,2,-1.9873,-8.9873,0.584,ACCEPTED (improvement),1.851
25,1,-1.9873,-8.9873,0.5548,REJECTED,1.9221
26,14,-2.0896,-9.0896,0.527,ACCEPTED (improvement),1.9943
27,1,-2.0835,-9.0835,0.5007,"ACCEPTED (escape, p=0.988)",2.0657
28,2,-2.051,-9.051,0.4757,"ACCEPTED (escape, p=0.934)",2.1372
29,11,-2.0659,-9.0659,0.4519,ACCEPTED (improvement),2.2097
30,2,-2.106,-9.106,0.4293,ACCEPTED (improvement),2.2823
31,11,-2.092,-9.092,0.4078,"ACCEPTED (escape, p=0.966)",2.3543
32,9,-2.0554,-9.0554,0.3874,"ACCEPTED (escape, p=0.910)",2.4282
33,11,-1.9624,-8.9624,0.3681,"ACCEPTED (escape, p=0.777)",2.5011
34,11,-1.959,-8.959,0.3496,"ACCEPTED (escape, p=0.990)",2.5738
35,6,-1.9055,-8.9055,0.3322,"ACCEPTED (escape, p=0.851)",2.6461
36,6,-1.9282,-8.9282,0.3156,ACCEPTED (improvement),2.7167
37,5,-1.9478,-8.9478,0.2998,ACCEPTED (improvement),2.7891
38,10,-2.0359,-9.0359,0.2848,ACCEPTED (improvement),2.8621
39,1,-2.0681,-9.0681,0.2706,ACCEPTED (improvement),2.9329
40,0,-2.0735,-9.0735,0.257,ACCEPTED (improvement),3.0043
41,10,-2.0718,-9.0718,0.2442,"ACCEPTED (escape, p=0.993)",3.0762
42,7,-1.9753,-8.9753,0.232,"ACCEPTED (escape, p=0.660)",3.1467
43,11,-2.0876,-9.0876,0.2204,ACCEPTED (improvement),3.2213
44,9,-2.1531,-9.1531,0.2093,ACCEPTED (improvement),3.2995
45,11,-2.105,-9.105,0.1989,"ACCEPTED (escape, p=0.785)",3.3753
46,6,-2.0681,-9.0681,0.1889,"ACCEPTED (escape, p=0.823)",3.4506
47,12,-2.0698,-9.0698,0.1795,ACCEPTED (improvement),3.5248
48,7,-2.2297,-9.2297,0.1705,ACCEPTED (improvement),3.6031
49,6,-2.2366,-9.2366,0.162,ACCEPTED (improvement),3.6871
50,9,-2.2012,-9.2012,0.1539,"ACCEPTED (escape, p=0.795)",3.7679
51,12,-2.3569,-9.3569,0.1462,ACCEPTED (improvement),3.8419
52,11,-2.3569,-9.3569,0.1389,REJECTED,3.9286
53,6,-2.5022,-9.5022,0.1319,ACCEPTED (improvement),4.0169
